**************************************************************************************************************


SPECIES :  I^- / I_2
PROCESS:  I^- + I_2 -> I^- + I_2, isotropic
PARAM.:   delta E = 0.00
COMMENT:  constant value, same order of magnitude in Cl2 and O2
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 7.408657e-02    1.000000e-20
 7.687260e-02    1.000000e-20
 7.976339e-02    1.000000e-20
 8.276289e-02    1.000000e-20
 8.587519e-02    1.000000e-20
 8.910453e-02    1.000000e-20
 9.245531e-02    1.000000e-20
 9.593209e-02    1.000000e-20
 9.953962e-02    1.000000e-20
 1.032828e-01    1.000000e-20
 1.071668e-01    1.000000e-20
 1.111968e-01    1.000000e-20
 1.153783e-01    1.000000e-20
 1.197171e-01    1.000000e-20
 1.242191e-01    1.000000e-20
 1.288904e-01    1.000000e-20
 1.337373e-01    1.000000e-20
 1.387665e-01    1.000000e-20
 1.439848e-01    1.000000e-20
 1.493993e-01    1.000000e-20
 1.550175e-01    1.000000e-20
 1.608469e-01    1.000000e-20
 1.668956e-01    1.000000e-20
 1.731717e-01    1.000000e-20
 1.796838e-01    1.000000e-20
 1.864409e-01    1.000000e-20
 1.934520e-01    1.000000e-20
 2.007267e-01    1.000000e-20
 2.082751e-01    1.000000e-20
 2.161073e-01    1.000000e-20
 2.242340e-01    1.000000e-20
 2.326663e-01    1.000000e-20
 2.414157e-01    1.000000e-20
 2.504942e-01    1.000000e-20
 2.599140e-01    1.000000e-20
 2.696881e-01    1.000000e-20
 2.798297e-01    1.000000e-20
 2.903527e-01    1.000000e-20
 3.012714e-01    1.000000e-20
 3.126007e-01    1.000000e-20
 3.243561e-01    1.000000e-20
 3.365535e-01    1.000000e-20
 3.492096e-01    1.000000e-20
 3.623416e-01    1.000000e-20
 3.759675e-01    1.000000e-20
 3.901058e-01    1.000000e-20
 4.047757e-01    1.000000e-20
 4.199973e-01    1.000000e-20
 4.357913e-01    1.000000e-20
 4.521792e-01    1.000000e-20
 4.691835e-01    1.000000e-20
 4.868271e-01    1.000000e-20
 5.051342e-01    1.000000e-20
 5.241298e-01    1.000000e-20
 5.438397e-01    1.000000e-20
 5.642908e-01    1.000000e-20
 5.855110e-01    1.000000e-20
 6.075292e-01    1.000000e-20
 6.303753e-01    1.000000e-20
 6.540806e-01    1.000000e-20
 6.786773e-01    1.000000e-20
 7.041990e-01    1.000000e-20
 7.306804e-01    1.000000e-20
 7.581576e-01    1.000000e-20
 7.866682e-01    1.000000e-20
 8.162509e-01    1.000000e-20
 8.469460e-01    1.000000e-20
 8.787954e-01    1.000000e-20
 9.118425e-01    1.000000e-20
 9.461324e-01    1.000000e-20
 9.817117e-01    1.000000e-20
 1.018629e+00    1.000000e-20
 1.056935e+00    1.000000e-20
 1.096681e+00    1.000000e-20
 1.137921e+00    1.000000e-20
 1.180713e+00    1.000000e-20
 1.225114e+00    1.000000e-20
 1.271184e+00    1.000000e-20
 1.318987e+00    1.000000e-20
 1.368587e+00    1.000000e-20
 1.420053e+00    1.000000e-20
 1.473454e+00    1.000000e-20
 1.528864e+00    1.000000e-20
 1.586357e+00    1.000000e-20
 1.646012e+00    1.000000e-20
 1.707910e+00    1.000000e-20
 1.772136e+00    1.000000e-20
 1.838777e+00    1.000000e-20
 1.907924e+00    1.000000e-20
 1.979672e+00    1.000000e-20
 2.054117e+00    1.000000e-20
 2.131362e+00    1.000000e-20
 2.211512e+00    1.000000e-20
 2.294676e+00    1.000000e-20
 2.380968e+00    1.000000e-20
 2.470504e+00    1.000000e-20
 2.563407e+00    1.000000e-20
 2.659804e+00    1.000000e-20
 2.759826e+00    1.000000e-20
 2.863610e+00    1.000000e-20
 2.971296e+00    1.000000e-20
 3.083031e+00    1.000000e-20
 3.198969e+00    1.000000e-20
 3.319266e+00    1.000000e-20
 3.444087e+00    1.000000e-20
 3.573602e+00    1.000000e-20
 3.707988e+00    1.000000e-20
 3.847427e+00    1.000000e-20
 3.992109e+00    1.000000e-20
 4.142232e+00    1.000000e-20
 4.298001e+00    1.000000e-20
 4.459628e+00    1.000000e-20
 4.627332e+00    1.000000e-20
 4.801343e+00    1.000000e-20
