**************************************************************************************************************


SPECIES :  I^+ / I2
PROCESS:  I^+ + I2 -> I + I2^+, CHARGE_EXCHANGE
PARAM.:   delta E = -1.14
COMMENT:  fit from data of figure 5 in Hause et al (2015) in the center of mass, exothermic reaction 1.14 eV
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.767044e-02    4.094030e-18
 1.795785e-02    4.061136e-18
 1.824993e-02    4.028506e-18
 1.854677e-02    3.996138e-18
 1.884843e-02    3.964031e-18
 1.915501e-02    3.932181e-18
 1.946656e-02    3.900587e-18
 1.978319e-02    3.869247e-18
 2.010496e-02    3.838159e-18
 2.043197e-02    3.807321e-18
 2.076430e-02    3.776730e-18
 2.110203e-02    3.746386e-18
 2.144526e-02    3.716285e-18
 2.179407e-02    3.686425e-18
 2.214855e-02    3.656806e-18
 2.250880e-02    3.627425e-18
 2.287491e-02    3.598280e-18
 2.324697e-02    3.569369e-18
 2.362508e-02    3.540690e-18
 2.400935e-02    3.512242e-18
 2.439986e-02    3.484022e-18
 2.479673e-02    3.456029e-18
 2.520005e-02    3.428261e-18
 2.560993e-02    3.400716e-18
 2.602648e-02    3.373393e-18
 2.644980e-02    3.346289e-18
 2.688001e-02    3.319402e-18
 2.731722e-02    3.292732e-18
 2.776153e-02    3.266276e-18
 2.821308e-02    3.240033e-18
 2.867196e-02    3.214000e-18
 2.913832e-02    3.188177e-18
 2.961225e-02    3.162561e-18
 3.009390e-02    3.137151e-18
 3.058338e-02    3.111945e-18
 3.108082e-02    3.086941e-18
 3.158635e-02    3.062139e-18
 3.210011e-02    3.037536e-18
 3.262222e-02    3.013130e-18
 3.315282e-02    2.988921e-18
 3.369206e-02    2.964906e-18
 3.424006e-02    2.941084e-18
 3.479698e-02    2.917453e-18
 3.536296e-02    2.894012e-18
 3.593814e-02    2.870760e-18
 3.652267e-02    2.847694e-18
 3.711672e-02    2.824814e-18
 3.772042e-02    2.802117e-18
 3.833395e-02    2.779603e-18
 3.895746e-02    2.757270e-18
 3.959110e-02    2.735117e-18
 4.023506e-02    2.713141e-18
 4.088948e-02    2.691342e-18
 4.155455e-02    2.669718e-18
 4.223044e-02    2.648267e-18
 4.291732e-02    2.626989e-18
 4.361538e-02    2.605882e-18
 4.432479e-02    2.584945e-18
 4.504573e-02    2.564176e-18
 4.577841e-02    2.543574e-18
 4.652300e-02    2.523137e-18
 4.727970e-02    2.502864e-18
 4.804870e-02    2.482755e-18
 4.883022e-02    2.462806e-18
 4.962445e-02    2.443019e-18
 5.043159e-02    2.423390e-18
 5.125187e-02    2.403919e-18
 5.208549e-02    2.384604e-18
 5.293266e-02    2.365445e-18
